City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2020-10-27 02:32:02,-33.7,-53.46,56.34,78,97,12.64
1,Qaanaaq,GL,2020-10-27 02:32:03,77.48,-69.36,8.8,78,98,9.06
2,Egvekinot,RU,2020-10-27 02:32:03,66.32,-179.17,22.46,96,100,4.09
3,Qui Nhon,VN,2020-10-27 02:32:03,13.77,109.23,79.32,77,100,18.9
4,Ushuaia,AR,2020-10-27 02:28:18,-54.8,-68.3,48.2,39,20,14.99
5,Hobart,AU,2020-10-27 02:28:52,-42.88,147.33,59.0,58,75,11.41
6,Nikolskoye,RU,2020-10-27 02:32:04,59.7,30.79,50.0,87,75,8.95
7,Pisco,PE,2020-10-27 02:32:04,-13.7,-76.22,63.0,82,0,12.75
8,Hermanus,ZA,2020-10-27 02:31:04,-34.42,19.23,62.01,84,5,1.01
9,Buala,SB,2020-10-27 02:32:04,-8.14,159.59,83.05,76,96,5.35
10,Rio Brilhante,BR,2020-10-27 02:28:19,-21.8,-54.55,69.66,91,100,4.74
11,Hithadhoo,MV,2020-10-27 02:27:33,-0.6,73.08,83.43,64,69,6.67
12,Mehamn,NO,2020-10-27 02:32:05,71.04,27.85,37.94,77,43,9.08
13,Jamestown,US,2020-10-27 02:28:58,42.1,-79.24,43.0,100,90,2.75
14,Wote,KE,2020-10-27 02:32:05,-1.78,37.63,63.97,89,95,3.38
15,Saint-Philippe,RE,2020-10-27 02:32:06,-21.36,55.77,71.6,78,90,4.7
16,Farsund,NO,2020-10-27 02:32:06,58.09,6.8,48.99,93,63,11.14
17,Abu Dhabi,AE,2020-10-27 02:32:06,24.47,54.37,77.0,41,0,5.82
18,Pathein,MM,2020-10-27 02:32:06,16.78,94.73,84.07,79,28,5.95
19,Georgetown,MY,2020-10-27 02:29:07,5.41,100.34,86.0,78,20,2.24
20,Albany,US,2020-10-27 02:29:55,42.6,-73.97,51.01,89,100,1.5
21,Hami,CN,2020-10-27 02:32:07,42.8,93.45,49.46,42,100,4.65
22,Cape Town,ZA,2020-10-27 02:30:30,-33.93,18.42,61.0,93,0,5.82
23,Bengkulu,ID,2020-10-27 02:29:48,-3.8,102.27,80.47,70,100,1.07
24,Durban,ZA,2020-10-27 02:32:08,-29.86,31.03,66.0,93,0,1.12
25,Longyearbyen,SJ,2020-10-27 02:32:08,78.22,15.64,26.6,86,75,6.93
26,Kamina,CD,2020-10-27 02:32:08,-8.74,24.99,65.25,94,99,3.65
27,Ocos,GT,2020-10-27 02:32:08,14.51,-92.19,78.8,100,40,5.75
28,Bukachacha,RU,2020-10-27 02:32:08,52.98,116.92,27.9,86,85,7.47
29,Punta Arenas,CL,2020-10-27 02:32:09,-53.15,-70.92,42.8,70,20,14.99
30,Rikitea,PF,2020-10-27 02:32:09,-23.12,-134.97,75.56,86,100,14.74
31,Caravelas,BR,2020-10-27 02:32:09,-17.71,-39.25,73.02,92,6,3.33
32,Sola,VU,2020-10-27 02:32:09,-13.88,167.55,80.06,81,56,20.45
33,Ribeira Grande,PT,2020-10-27 02:32:09,38.52,-28.7,68.27,86,84,10.65
34,Upington,ZA,2020-10-27 02:30:31,-28.45,21.26,78.8,39,0,8.05
35,Ust-Ishim,RU,2020-10-27 02:32:10,57.69,71.17,37.13,92,100,14.83
36,Boueni,YT,2020-10-27 02:32:10,-12.9,45.08,75.2,83,0,3.36
37,Barrow,US,2020-10-27 02:32:10,71.29,-156.79,19.4,85,90,11.41
38,Ambilobe,MG,2020-10-27 02:32:11,-13.2,49.05,72.0,72,0,3.98
39,Chokurdakh,RU,2020-10-27 02:32:11,70.63,147.92,6.85,95,100,9.62
40,Coihaique,CL,2020-10-27 02:29:18,-45.58,-72.07,44.6,84,75,3.36
41,Mataura,NZ,2020-10-27 02:32:11,-46.19,168.86,57.0,64,71,8.99
42,Nelson Bay,AU,2020-10-27 02:32:11,-32.72,152.15,66.99,72,90,19.46
43,Esperance,AU,2020-10-27 02:31:16,-33.87,121.9,77.0,47,0,4.7
44,Talnakh,RU,2020-10-27 02:32:12,69.49,88.4,3.2,84,0,6.71
45,Warri,NG,2020-10-27 02:32:12,5.52,5.75,75.72,92,100,2.24
46,Lima,PE,2020-10-27 02:32:12,-12.04,-77.03,62.6,82,20,12.75
47,Pevek,RU,2020-10-27 02:32:13,69.7,170.31,20.88,94,92,20.76
48,Sabzevar,IR,2020-10-27 02:32:13,36.21,57.68,52.29,39,47,4.27
49,Hobyo,SO,2020-10-27 02:32:13,5.35,48.53,78.64,80,79,4.52
50,Lasa,IT,2020-10-27 02:32:13,46.62,10.7,45.0,86,75,10.29
51,Castro,BR,2020-10-27 02:32:13,-24.79,-50.01,61.59,94,100,4.03
52,Mar Del Plata,AR,2020-10-27 02:32:14,-38.0,-57.56,55.0,81,0,3.36
53,Puerto Ayora,EC,2020-10-27 02:32:14,-0.74,-90.35,68.0,92,54,3.0
54,Atuona,PF,2020-10-27 02:32:14,-9.8,-139.03,78.78,76,49,22.35
55,Arman,RU,2020-10-27 02:32:14,59.7,150.17,36.73,74,67,9.84
56,Miragoane,HT,2020-10-27 02:32:14,18.44,-73.09,81.3,74,99,3.11
57,Hofn,IS,2020-10-27 02:32:14,64.25,-15.21,36.86,77,80,14.38
58,Port Hedland,AU,2020-10-27 02:32:15,-20.32,118.57,82.4,65,0,10.29
59,Havre-Saint-Pierre,CA,2020-10-27 02:32:15,50.23,-63.6,30.2,100,90,6.93
60,Natal,BR,2020-10-27 02:29:15,-5.79,-35.21,78.8,88,75,3.36
61,Codrington,AU,2020-10-27 02:32:15,-38.27,141.97,60.08,76,75,15.08
62,Bluff,NZ,2020-10-27 02:32:16,-46.6,168.33,57.0,64,20,8.99
63,Kachiry,KZ,2020-10-27 02:32:16,53.07,76.1,45.5,69,63,17.31
64,Yellowknife,CA,2020-10-27 02:32:16,62.46,-114.35,21.2,79,90,12.75
65,Kisangani,CD,2020-10-27 02:32:16,0.52,25.2,69.71,97,64,1.61
66,Ouadda,CF,2020-10-27 02:32:16,8.08,22.4,67.46,62,57,1.9
67,Avarua,CK,2020-10-27 02:29:38,-21.21,-159.78,71.6,83,100,13.87
68,Krasnoarmeysk,RU,2020-10-27 02:32:17,51.02,45.7,35.01,71,0,3.0
69,Busselton,AU,2020-10-27 02:32:17,-33.65,115.33,71.01,59,76,5.99
70,Alamogordo,US,2020-10-27 02:32:17,32.9,-105.96,39.2,44,75,10.29
